texte,categorie,label,type_document,anonymized
"Communiqué financier : [ORGANISATION] affiche des résultats solides pour l'exercice écoulé, avec une hausse du chiffre d'affaires global et de nombreux nouveaux contrats signés à Tunis.",Publique,C1,Actualités financières COMAR,True
"Relevé d'identité bancaire [ORGANISATION] : titulaire [PERSONNE], banque STB, [IDENTIFIANT] 05602018732856580905, [IDENTIFIANT] TN594807087284010676454. Ne pas transmettre par messagerie non sécurisée. Information de niveau hautement confidentiel, soumise au secret professionnel.",Finance,C4,Attestation bancaire (RIB tunisien),True
"Formulaire de souscription assurance vie. Souscripteur : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], Tél: (+216) 79.657.893). Bénéficiaire désigné en cas de décès : conjoint(e). Reçu le 22/01/2026.",Personnelles,C3,Demande de souscription contrat,True
"Rapport d'expertise médicale confidentiel rédigé par Dr. [PERSONNE], médecin conseil de [ORGANISATION]. Suite à l'examen de l'assuré [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]) après son accident du 22/01/2026. Diagnostic : grippe saisonnière entraînant une incapacité permanente partielle. Destiné exclusivement au [SERVICE] médical. Toute copie, impression ou diffusion nécessite une validation préalable.",Medicale,C4,Rapport médical médecin conseil,True
"Rapport d'expertise médicale confidentiel rédigé par Dr. [PERSONNE], médecin conseil de [ORGANISATION]. Suite à l'examen de l'assuré [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]) après son accident du 05/06/2026. Diagnostic : fracture du poignet entraînant une incapacité permanente partielle. Destiné exclusivement au [SERVICE] médical. Toute copie, impression ou diffusion nécessite une validation préalable.",Medicale,C4,Rapport médical médecin conseil,True
"[ORGANISATION] annonce des performances financières stables pour ce semestre, consolidant sa position de leader sur le marché tunisien avec un montant net d'investissements record.",Publique,C1,Actualités financières COMAR,True
"ORDONNANCE — Dr. [PERSONNE], [PERSONNE] du Lac, [PERSONNE]. Patient : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Prescription médicale pour grippe saisonnière. Document de santé protégé par le secret médical. Toute copie, impression ou diffusion nécessite une validation préalable.",Medicale,C4,Ordonnance médicale,True
"Déclaration de sinistre n° SIN-2024947 — Assuré : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], Tél: +216-27-402-454). Police POL-824929. Montant réclamé : 7 800 TND. Dossier à traiter par le [SERVICE] Sinistres.",Personnelles,C3,Déclaration sinistre assurance,True
"Demande d'adhésion au contrat d'assurance groupe [ORGANISATION]. Adhérent : [PERSONNE], résidant à [PERSONNE]. [IDENTIFIANT] : [IDENTIFIANT], Tél : +216 54 878 717. Signature requise pour finaliser la souscription.",Personnelles,C3,Demande de souscription contrat,True
[DONNEES] Guide pratique de l'assuré : comment déclarer un sinistre en ligne et obtenir une assistance immédiate. Les étapes clés pour être remboursé rapidement.,Publique,C1,Guide assurance auto/habitation,True
"Relevé de facturation du client [PERSONNE], montant total 1 850 TND, à traiter exclusivement par le [SERVICE] comptabilité.",Finance,C3,Facture client,True
"Rapport d'expertise sinistre pour [PERSONNE], référence SIN-2026131. Coordonnées : +216-98-640-009, Nabeul. Document contenant des données personnelles et financières sensibles.",Personnelles,C3,Déclaration sinistre assurance,True
[DONNEES] Procédure judiciaire en cours concernant un différend avec une société concurrente. Les pièces de ce dossier ne peuvent être communiquées qu'aux avocats mandatés et à la direction générale. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.,Juridique,C4,Litige juridique majeur,True
Nous recrutons un(e) chargé(e) de projet pour rejoindre notre [SERVICE] Marketing à Tunis. Candidature à envoyer via notre site carrière.,Publique,C1,Offre d'emploi publiée,True
Police d'assurance habitation n° POL-481937 - Conditions particulières. Assuré : [PERSONNE] (Tunis). Franchise générale de 22 900 TND par sinistre. Document contractuel confidentiel.,Personnelles,C3,Conditions particulières de police,True
"MODÈLE DE FICHE CLIENT VIERGE - [ORGANISATION] ASSURANCES
Nom de l'assuré : [Insérer Nom]
[IDENTIFIANT] : [__ __ __ __ __ __ __ __]
Téléphone : [Insérer Numéro]
Adresse : [Insérer Ville]
[IDENTIFIANT] : POL-xxxxxx
[IDENTIFIANT] : SIN-xxxxxxx",Publique,C1,Modèle de document vierge,True
[DONNEES] L'entreprise a le plaisir d'informer l'ensemble de ses parties prenantes et du public du succès de son événement annuel organisé à Ariana le 12/03/2026.,Publique,C1,Communiqué de presse,True
"Bulletin de salaire de [PERSONNE] pour le mois en cours, [SERVICE] Logistique. Montant net à payer : 1 850 TND. Document personnel ne pouvant être partagé sans consentement.",Finance,C3,Bulletin de paie,True
[DONNEES] Guide pratique de l'assuré : comment déclarer un sinistre en ligne et obtenir une assistance immédiate. Les étapes clés pour être remboursé rapidement.,Publique,C1,Guide assurance auto/habitation,True
Facture n° 2026-12/03/2026 émise au nom de [PERSONNE] pour un montant de 1 850 TND. Coordonnées de paiement : [IDENTIFIANT] TN592506374484555766335.,Finance,C3,Facture client,True
"Certificat d'arrêt de travail de [PERSONNE], établi par Dr. [PERSONNE] le 05/06/2026. Incapacité temporaire de 15 jours. Document couvert par le secret médical, accès restreint au médecin du travail [ORGANISATION]. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Medicale,C4,Arrêt maladie,True
Rémunération globale du dirigeant [PERSONNE] pour l'exercice en cours : 150 000 TND. Cette information est réservée aux membres du conseil d'administration. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.,Finance,C4,Rémunération dirigeant,True
"MODÈLE DE FICHE CLIENT VIERGE - [ORGANISATION] ASSURANCES
Nom de l'assuré : [Insérer Nom]
[IDENTIFIANT] : [__ __ __ __ __ __ __ __]
Téléphone : [Insérer Numéro]
Adresse : [Insérer Ville]
[IDENTIFIANT] : POL-xxxxxx
[IDENTIFIANT] : SIN-xxxxxxx",Publique,C1,Modèle de document vierge,True
"Rémunération globale du dirigeant [PERSONNE] pour l'exercice en cours : 12 500 TND. Cette information est réservée aux membres du conseil d'administration. Information de niveau hautement confidentiel, soumise au secret professionnel.",Finance,C4,Rémunération dirigeant,True
"Mise à jour du moyen de paiement de [PERSONNE] : nouvel [IDENTIFIANT] TN594602097591776640072 enregistré dans le système, accès limité au [SERVICE] Finance. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Finance,C4,Coordonnées bancaires client,True
"[DONNEES] Découvrez notre engagement en matière de responsabilité sociétale à Tunis, à retrouver sur notre site web ouvert à tous les visiteurs.",Publique,C1,Page site web institutionnel,True
"Mise à jour du moyen de paiement de [PERSONNE] : nouvel [IDENTIFIANT] TN595804374027806209227 enregistré dans le système, accès limité au [SERVICE] Finance. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Finance,C4,Coordonnées bancaires client,True
"Ordonnance médicale concernant [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Traitement prescrit le 22/01/2026 par Dr. [PERSONNE]. Ce document ne peut être consulté que par le personnel médical habilité et le pharmacien. Information de niveau hautement confidentiel, soumise au secret professionnel.",Medicale,C4,Ordonnance médicale,True
"[ORGANISATION] annonce des performances financières stables pour ce semestre, consolidant sa position de leader sur le marché tunisien avec un montant net d'investissements record.",Publique,C1,Actualités financières COMAR,True
"Relevé de remboursement [ORGANISME] pour [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Montant remboursé : 12 500 TND. Acte médical : lombalgie chronique. Données de santé couvertes par le secret médical. Toute copie, impression ou diffusion nécessite une validation préalable.",Medicale,C4,Attestation CNAM / mutuelle,True
"Attestation médicale — Patient : [PERSONNE], [IDENTIFIANT] [IDENTIFIANT], [CONTACT]. Consultation du 18/11/2026 à Hôpital [PERSONNE]. Motif : hypertension artérielle. Ne pas diffuser en dehors du circuit médical autorisé. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Medicale,C4,Certificat médical,True
Police d'assurance habitation n° POL-775029 - Conditions particulières. Assuré : [PERSONNE] (Ariana). Franchise générale de 48 000 TND par sinistre. Document contractuel confidentiel.,Personnelles,C3,Conditions particulières de police,True
[DONNEES] Le présent contrat lie l'entreprise à un partenaire industriel à compter du 18/11/2026. Sa communication est réservée aux signataires et à la direction juridique.,Juridique,C3,Contrat commercial,True
"Relevé de facturation du client [PERSONNE], montant total 7 800 TND, à traiter exclusivement par le [SERVICE] comptabilité.",Finance,C3,Facture client,True
"[DONNEES] Tout savoir sur l'assurance habitation : garanties obligatoires, franchises et options disponibles pour protéger votre logement et votre famille.",Publique,C1,Guide assurance auto/habitation,True
"Enregistrement des coordonnées bancaires du client [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]) : [IDENTIFIANT] TN590806750193344365915, [IDENTIFIANT] 32763956851423704855. Ces informations financières ne doivent en aucun cas être communiquées à un tiers non autorisé. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Finance,C4,Coordonnées bancaires client,True
Devis d'assurance habitation n° POL-296204 établi pour [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Cotisation annuelle : 1 850 TND pour une couverture multirisque à Gabès.,Finance,C3,Devis et simulation assurance,True
"Déclaration de sinistre n° SIN-2025025 — Assuré : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], Tél: (+216) 26.191.014). Police POL-395416. Montant réclamé : 12 500 TND. Dossier à traiter par le [SERVICE] Sinistres.",Personnelles,C3,Déclaration sinistre assurance,True
Organisation des congés et astreintes du [SERVICE] Achats jusqu'au 30/09/2025.,RH,C2,Planning d'équipe,True
"Conditions particulières du contrat d'assurance auto n° POL-529768 souscrit par [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], [CONTACT]). Date d'effet : 18/11/2026. Garanties : Responsabilité Civile, Vol et Incendie.",Personnelles,C3,Conditions particulières de police,True
"[DONNEES] Découvrez notre engagement en matière de responsabilité sociétale à Gabès, à retrouver sur notre site web ouvert à tous les visiteurs.",Publique,C1,Page site web institutionnel,True
"Certificat d'arrêt de travail de [PERSONNE], établi par Dr. [PERSONNE] le 18/11/2026. Incapacité temporaire de 15 jours. Document couvert par le secret médical, accès restreint au médecin du travail [ORGANISATION]. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Medicale,C4,Arrêt maladie,True
"Conditions particulières du contrat d'assurance auto n° POL-987658 souscrit par [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], [CONTACT]). Date d'effet : 12/03/2026. Garanties : Responsabilité Civile, Vol et Incendie.",Personnelles,C3,Conditions particulières de police,True
"Conditions particulières du contrat d'assurance auto n° POL-373484 souscrit par [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], Tél: +216-92-729-701). Date d'effet : 30/09/2025. Garanties : Responsabilité Civile, Vol et Incendie.",Personnelles,C3,Conditions particulières de police,True
"Relevé d'identité bancaire [ORGANISATION] : titulaire [PERSONNE], banque STB, [IDENTIFIANT] 05196814691076432631, [IDENTIFIANT] TN599905872441113973031. Ne pas transmettre par messagerie non sécurisée. Toute copie, impression ou diffusion nécessite une validation préalable.",Finance,C4,Attestation bancaire (RIB tunisien),True
Attestation [ORGANISME] — Bénéficiaire : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Numéro d'affiliation : 2141084R/P/M/000. Prise en charge médicale pour burn-out professionnel. Document contenant des données de santé protégées. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.,Medicale,C4,Attestation CNAM / mutuelle,True
Devis d'assurance habitation n° POL-233355 établi pour [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Cotisation annuelle : 3 200 TND pour une couverture multirisque à Sousse.,Finance,C3,Devis et simulation assurance,True
"Arrêt de travail médical — [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], [IDENTIFIANT] 9145548N/A/C/000). Durée : 5 jours à compter du 22/01/2026. Motif : fracture du poignet. À transmettre uniquement au [SERVICE] RH dans le respect du secret médical. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Medicale,C4,Arrêt maladie,True
"Dossier de contentieux opposant [ORGANISATION] à un partenaire industriel, enjeu financier estimé à 3 200 TND. Ce dossier est couvert par le secret professionnel. Toute copie, impression ou diffusion nécessite une validation préalable.",Juridique,C4,Litige juridique majeur,True
"[DONNEES] Mode opératoire interne applicable au sein de l'équipe Logistique, non destiné à être communiqué à des tiers.",RH,C2,Procédure interne,True
"Fiche client [ORGANISATION] : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], Bizerte, Tél: +216-52-592-216). Police n° POL-280044. Ce dossier contient des données sensibles assurantielles. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Personnelles,C4,Dossier client (données personnelles),True
"Ordonnance médicale concernant [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Traitement prescrit le 30/09/2025 par Dr. [PERSONNE]. Ce document ne peut être consulté que par le personnel médical habilité et le pharmacien. Toute copie, impression ou diffusion nécessite une validation préalable.",Medicale,C4,Ordonnance médicale,True
"[DONNEES] Éléments stratégiques relatifs au rapprochement avec un groupe international, prévu pour le 12/03/2026. Toute fuite d'information avant l'annonce officielle exposerait l'entreprise à un risque financier majeur. Information de niveau hautement confidentiel, soumise au secret professionnel.",Strategique,C4,Plan de fusion-acquisition,True
[DONNEES] Le présent contrat lie l'entreprise à une société concurrente à compter du 30/09/2025. Sa communication est réservée aux signataires et à la direction juridique.,Juridique,C3,Contrat commercial,True
"[DONNEES] Synthèse de l'échange hebdomadaire de l'équipe Marketing, destinée uniquement aux membres présents et à leur hiérarchie directe.",RH,C2,Compte-rendu de réunion d'équipe,True
[DONNEES] Invitation réunion d'équipe : ordre du jour concernant le planning des audits internes et le suivi du dossier client. Rendez-vous dans la salle de conférence.,RH,C2,Invitation et planification réunion,True
[DONNEES] Invitation réunion d'équipe : ordre du jour concernant le planning des audits internes et le suivi du dossier client. Rendez-vous dans la salle de conférence.,RH,C2,Invitation et planification réunion,True
"[DONNEES] Planning prévisionnel de l'équipe Souscription pour le mois en cours, à consulter par les collaborateurs concernés uniquement.",RH,C2,Planning d'équipe,True
"Certificat médical délivré par Centre médical [ORGANISATION] concernant [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Diagnostic : lombalgie chronique. Durée d'incapacité : 30 jours. Document strictement confidentiel, réservé au médecin conseil [ORGANISATION] et au [SERVICE] RH. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Medicale,C4,Certificat médical,True
"Relevé de remboursement [ORGANISME] pour [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Montant remboursé : 12 500 TND. Acte médical : grippe saisonnière. Données de santé couvertes par le secret médical. Information de niveau hautement confidentiel, soumise au secret professionnel.",Medicale,C4,Attestation CNAM / mutuelle,True
"Contrat de travail établi entre [ORGANISATION] et [PERSONNE], affecté(e) au [SERVICE] Support client à Gabès, prenant effet le 22/01/2026. [IDENTIFIANT] : [IDENTIFIANT]. Ce document engage les deux parties.",RH,C3,Contrat de travail,True
Police d'assurance habitation n° POL-520429 - Conditions particulières. Assuré : [PERSONNE] (Sfax). Franchise générale de 22 900 TND par sinistre. Document contractuel confidentiel.,Personnelles,C3,Conditions particulières de police,True
"Accord commercial conclu entre [ORGANISATION] et un fonds d'investissement, portant sur une prestation d'un montant de 1 850 TND. Les termes de cet accord ne peuvent être divulgués sans autorisation.",Juridique,C3,Contrat commercial,True
"Conditions particulières du contrat d'assurance auto n° POL-969233 souscrit par [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], Tél: +216 71 285 443). Date d'effet : 30/09/2025. Garanties : Responsabilité Civile, Vol et Incendie.",Personnelles,C3,Conditions particulières de police,True
"Attestation [ORGANISME] — Bénéficiaire : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Numéro d'affiliation : 9424121P/A/M/000. Prise en charge médicale pour fracture du poignet. Document contenant des données de santé protégées. Information de niveau hautement confidentiel, soumise au secret professionnel.",Medicale,C4,Attestation CNAM / mutuelle,True
"Plan de réorganisation du [SERVICE] Logistique, prévu pour le 18/11/2026, impliquant une révision des effectifs. Document réservé au comité de direction. Information de niveau hautement confidentiel, soumise au secret professionnel.",Strategique,C4,Plan de restructuration,True
Appel de cotisation pour votre assurance auto n° POL-390495. Assuré : [PERSONNE]. Montant net à payer : 12 500 TND avant le 22/01/2026. Coordonnées bancaires [ORGANISATION] pour virement : [IDENTIFIANT] 32377567794668532414.,Finance,C3,Avis d'échéance et appel de cotisations,True
"Plan de réorganisation du [SERVICE] Souscription, prévu pour le 12/03/2026, impliquant une révision des effectifs. Document réservé au comité de direction. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Strategique,C4,Plan de restructuration,True
"Relevé d'identité bancaire [ORGANISATION] : titulaire [PERSONNE], banque STB, [IDENTIFIANT] 31421125340444407211, [IDENTIFIANT] TN596307973678988019622. Ne pas transmettre par messagerie non sécurisée. Toute copie, impression ou diffusion nécessite une validation préalable.",Finance,C4,Attestation bancaire (RIB tunisien),True
"Attestation médicale — Patient : [PERSONNE], [IDENTIFIANT] [IDENTIFIANT], Tél: +216-75-589-884. Consultation du 18/11/2026 à Centre médical [ORGANISATION]. Motif : burn-out professionnel. Ne pas diffuser en dehors du circuit médical autorisé. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Medicale,C4,Certificat médical,True
"Dossier médical confidentiel de [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT], Tél: (+216) 51.311.547). Antécédents : lombalgie chronique. Suivi à Centre médical [ORGANISATION]. Accès strictement restreint au médecin conseil [ORGANISATION]. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Medicale,C4,Dossier médical complet,True
"[DONNEES] Retrouvez notre actualité et nos communiqués officiels sur notre site internet, librement accessibles à tous.",Publique,C1,Communiqué de presse,True
[DONNEES] Petit rappel à toute l'équipe Souscription : la salle de réunion B sera indisponible le 30/09/2025 pour travaux.,RH,C2,Note de service,True
"Mise à jour du moyen de paiement de [PERSONNE] : nouvel [IDENTIFIANT] TN592104547816896552086 enregistré dans le système, accès limité au [SERVICE] Finance. Toute copie, impression ou diffusion nécessite une validation préalable.",Finance,C4,Coordonnées bancaires client,True
"[DONNEES] Mode opératoire interne applicable au sein de l'équipe Logistique, non destiné à être communiqué à des tiers.",RH,C2,Procédure interne,True
"Attestation bancaire établie pour [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]) : [IDENTIFIANT] 88028125954250434426, [IDENTIFIANT] TN598508834625804191116. Document à usage exclusif du [SERVICE] Finance et du client concerné. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Finance,C4,Attestation bancaire (RIB tunisien),True
"[ORGANISATION] Santé : Pour votre bien-être, adoptez une alimentation équilibrée et pratiquez une activité physique régulière. Pour toute question médicale, consultez votre médecin traitant.",Publique,C1,Conseils prévention et santé,True
"Scénario de restructuration stratégique concernant le [SERVICE] Production. Ces éléments sont classés au plus haut niveau de sensibilité et leur divulgation prématurée est interdite. Information de niveau hautement confidentiel, soumise au secret professionnel.",Strategique,C4,Plan de restructuration,True
"[DONNEES] Tout savoir sur l'assurance habitation : garanties obligatoires, franchises et options disponibles pour protéger votre logement et votre famille.",Publique,C1,Guide assurance auto/habitation,True
"Attestation [ORGANISME] — Bénéficiaire : [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Numéro d'affiliation : 5023544J/P/M/000. Prise en charge médicale pour lombalgie chronique. Document contenant des données de santé protégées. Information de niveau hautement confidentiel, soumise au secret professionnel.",Medicale,C4,Attestation CNAM / mutuelle,True
"Simulation de tarif pour une assurance auto [ORGANISATION]. Client : [PERSONNE]. Véhicule de tourisme, usage privé. Montant de la cotisation annuelle estimé à 1 850 TND. Valable 30 jours.",Finance,C3,Devis et simulation assurance,True
[DONNEES] Guide pratique de l'assuré : comment déclarer un sinistre en ligne et obtenir une assistance immédiate. Les étapes clés pour être remboursé rapidement.,Publique,C1,Guide assurance auto/habitation,True
Organisation des congés et astreintes du [SERVICE] Sinistres jusqu'au 12/03/2026.,RH,C2,Planning d'équipe,True
"Contrat de travail établi entre [ORGANISATION] et [PERSONNE], affecté(e) au [SERVICE] Marketing à Gabès, prenant effet le 05/06/2026. [IDENTIFIANT] : [IDENTIFIANT]. Ce document engage les deux parties.",RH,C3,Contrat de travail,True
[DONNEES] À l'attention de l'équipe Achats : merci de prendre connaissance des nouveaux horaires applicables à partir du 05/06/2026. Diffusion limitée aux collaborateurs.,RH,C2,Note de service,True
"Relevé d'identité bancaire [ORGANISATION] : titulaire [PERSONNE], banque STB, [IDENTIFIANT] 33709472621631577615, [IDENTIFIANT] TN595901648970464001491. Ne pas transmettre par messagerie non sécurisée. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Finance,C4,Attestation bancaire (RIB tunisien),True
"Communiqué financier : [ORGANISATION] affiche des résultats solides pour l'exercice écoulé, avec une hausse du chiffre d'affaires global et de nombreux nouveaux contrats signés à Tunis.",Publique,C1,Actualités financières COMAR,True
"[DONNEES] Mode opératoire interne applicable au sein de l'équipe Logistique, non destiné à être communiqué à des tiers.",RH,C2,Procédure interne,True
"Présentation de notre mission, de nos valeurs et de notre histoire, publiée sur la page d'accueil de notre site institutionnel [ORGANISATION].",Publique,C1,Page site web institutionnel,True
"Certificat d'arrêt de travail de [PERSONNE], établi par Dr. [PERSONNE] le 18/11/2026. Incapacité temporaire de 30 jours. Document couvert par le secret médical, accès restreint au médecin du travail [ORGANISATION]. Diffusion limitée aux personnes habilitées ; toute transmission externe est interdite.",Medicale,C4,Arrêt maladie,True
"[DONNEES] Planning prévisionnel de l'équipe Support client pour le mois en cours, à consulter par les collaborateurs concernés uniquement.",RH,C2,Planning d'équipe,True
"Attestation médicale — Patient : [PERSONNE], [IDENTIFIANT] [IDENTIFIANT], Tél: +216 95 251 528. Consultation du 22/01/2026 à Centre médical [ORGANISATION]. Motif : burn-out professionnel. Ne pas diffuser en dehors du circuit médical autorisé. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Medicale,C4,Certificat médical,True
"Présentation de notre mission, de nos valeurs et de notre histoire, publiée sur la page d'accueil de notre site institutionnel [ORGANISATION].",Publique,C1,Page site web institutionnel,True
"[DONNEES] Projet d'acquisition en cours de négociation avec une société concurrente, montant envisagé 150 000 TND. Ce dossier ne doit être consulté que par les membres du comité exécutif jusqu'à son annonce officielle. Accès réservé au circuit autorisé et conservation dans le dossier sécurisé.",Strategique,C4,Plan de fusion-acquisition,True
"Rapport d'expertise médicale confidentiel rédigé par Dr. [PERSONNE], médecin conseil de [ORGANISATION]. Suite à l'examen de l'assuré [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]) après son accident du 18/11/2026. Diagnostic : lombalgie chronique entraînant une incapacité permanente partielle. Destiné exclusivement au [SERVICE] médical. Toute copie, impression ou diffusion nécessite une validation préalable.",Medicale,C4,Rapport médical médecin conseil,True
Avis d'échéance [ORGANISATION]. Client : [PERSONNE]. Police n° POL-508185. Cotisation due pour la période du 30/09/2025 : 48 000 TND. À régler par prélèvement sur votre compte [IDENTIFIANT] TN598107442539685276820.,Finance,C3,Avis d'échéance et appel de cotisations,True
"Communiqué financier : [ORGANISATION] affiche des résultats solides pour l'exercice écoulé, avec une hausse du chiffre d'affaires global et de nombreux nouveaux contrats signés à Tunis.",Publique,C1,Actualités financières COMAR,True
"Présentation de notre mission, de nos valeurs et de notre histoire, publiée sur la page d'accueil de notre site institutionnel [ORGANISATION].",Publique,C1,Page site web institutionnel,True
"[DONNEES] TEMPLATE DE CERTIFICAT MEDICAL D'APTITUDE
Je soussigné Dr [Nom du médecin] certifie que M./Mme [Nom du patient] ... 
Diagnostic : [________________]
Signature et cachet du médecin :",Publique,C1,Modèle de document vierge,True
"[ORGANISATION] annonce des performances financières stables pour ce semestre, consolidant sa position de leader sur le marché tunisien avec un montant net d'investissements record.",Publique,C1,Actualités financières COMAR,True
Facture n° 2026-18/11/2026 émise au nom de [PERSONNE] pour un montant de 7 800 TND. Coordonnées de paiement : [IDENTIFIANT] TN596502508159590431507.,Finance,C3,Facture client,True
[DONNEES] Guide pratique de l'assuré : comment déclarer un sinistre en ligne et obtenir une assistance immédiate. Les étapes clés pour être remboursé rapidement.,Publique,C1,Guide assurance auto/habitation,True
"Plan de réorganisation du [SERVICE] Souscription, prévu pour le 30/09/2025, impliquant une révision des effectifs. Document réservé au comité de direction. Information de niveau hautement confidentiel, soumise au secret professionnel.",Strategique,C4,Plan de restructuration,True
Devis d'assurance habitation n° POL-732061 établi pour [PERSONNE] ([IDENTIFIANT] [IDENTIFIANT]). Cotisation annuelle : 22 900 TND pour une couverture multirisque à Ariana.,Finance,C3,Devis et simulation assurance,True
"[DONNEES] Éléments stratégiques relatifs au rapprochement avec un groupe international, prévu pour le 30/09/2025. Toute fuite d'information avant l'annonce officielle exposerait l'entreprise à un risque financier majeur. Toute copie, impression ou diffusion nécessite une validation préalable.",Strategique,C4,Plan de fusion-acquisition,True
"[DONNEES] Éléments stratégiques relatifs au rapprochement avec un fonds d'investissement, prévu pour le 22/01/2026. Toute fuite d'information avant l'annonce officielle exposerait l'entreprise à un risque financier majeur. Toute copie, impression ou diffusion nécessite une validation préalable.",Strategique,C4,Plan de fusion-acquisition,True
"[DONNEES] TEMPLATE DE CERTIFICAT MEDICAL D'APTITUDE
Je soussigné Dr [Nom du médecin] certifie que M./Mme [Nom du patient] ... 
Diagnostic : [________________]
Signature et cachet du médecin :",Publique,C1,Modèle de document vierge,True
[DONNEES] Petit rappel à toute l'équipe Achats : la salle de réunion B sera indisponible le 12/03/2026 pour travaux.,RH,C2,Note de service,True
